pmcid,pmid,citation_count,doi,publication_date,journal,volume,issue,pages,figure_count,table_count,reference_count,keyword_count,funding_sources
PMC5568470,28554658,8600,10.1016/j.taap.2017.05.030,2017 May 26,Toxicology and applied pharmacology,331,,101,6,0,0,15,
PMC4398884,25635000,8600,10.1152/japplphysiol.00576.2014,2015 Jan 29,Journal of Applied Physiology,118,8,980,8,5,0,15,
PMC5614317,28829425,8600,10.3791/56142,2017 Aug 15,Journal of Visualized Experiments : JoVE,,126,56142,5,1,0,15,
PMC10027818,36941263,15,10.1038/s41526-023-00247-6,2023 Mar 20,NPJ Microgravity,9,,21,8,2,0,15,
PMC3005423,20930114,1,10.1096/fj.10-170076,2011 Jan,The FASEB Journal,25,1,428,5,0,0,15,
PMC5498037,28678877,8600,10.1371/journal.pone.0180594,2017 Jul 5,PLoS ONE,12,7,e0180594,4,0,0,0,NIH; RE03701; GM109005; NASA
PMC5219934,27062511,8600,10.1111/cmi.12602,2016 May 3,Cellular microbiology,18,11,1642,6,1,0,0,
PMC10142442,37112839,18,10.3390/v15040859,2023 Mar 28,Viruses,15,4,859,4,1,0,15,NASA
PMC2925951,20808807,10,10.1371/journal.pone.0012348,2010 Aug 23,PLoS ONE,5,8,e12348,8,8,0,0,
PMC5771473,29191939,8600,10.1530/JOE-17-0524,2017 Nov 30,The Journal of endocrinology,236,2,57,6,0,0,15,
PMC7484075,32912916,26,10.1128/MRA.00817-20,2020 Sep 10,Microbiology Resource Announcements,9,37,e00817-20,0,1,0,15,
PMC10233975,37264385,46,10.1186/s40168-023-01545-7,2023 Jun 1,Microbiome,11,,125,4,6,0,0,
PMC5114340,27609032,3,,2016 Sep,Journal of Musculoskeletal & Neuronal Interactions,16,3,174,5,1,0,15,
PMC10926278,38465711,2024,10.14814/phy2.15978,2024 Mar 11,Physiological Reports,12,5,e15978,0,0,0,0,
PMC7890410,33659873,8600,10.1016/j.isci.2021.102105,2021 Jan 29,iScience,24,2,102105,7,0,0,0,
PMC7138367,31730829,131,10.1016/j.bone.2019.115152,2019 Nov 12,Bone,131,,115152,5,1,0,15,
PMC7998608,33806638,8600,10.3390/cells10030560,2021 Mar 4,Cells,10,3,560,9,2,0,15,
PMC11088941,33232584,16,10.1002/cpmc.129,2020 Dec,Current protocols in microbiology,59,1,e129,8,2,0,15,
PMC9108708,35577935,19,10.1038/s41431-022-01108-8,2022 May 16,European Journal of Human Genetics,30,8,889,4,0,0,15,NASA
PMC7530743,33004810,8600,10.1038/s41598-020-73002-6,2020 Oct 1,Scientific Reports,10,,16190,10,2,0,15,
PMC3982735,24596331,8600,10.1104/pp.113.233528,2014 Mar 4,Plant Physiology,164,4,1707,8,0,0,15,
PMC8220224,34179686,37,10.1093/pcmedi/pbab012,2021 May 17,Precision Clinical Medicine,4,2,93,5,2,0,15,
PMC8024390,29088549,8600,10.1089/ast.2016.1538,2017 Nov 1,Astrobiology,17,11,1077,7,11,0,15,
PMC4152162,24744382,8600,10.1152/japplphysiol.01174.2013,2014 Apr 17,Journal of Applied Physiology,116,12,1593,2,0,0,15,
PMC3067220,21169425,167,10.1128/AEM.01582-10,2010 Dec 17,Applied and Environmental Microbiology,77,4,1221,2,3,0,15,
PMC10261121,37308480,2021,10.1038/s41526-023-00292-1,2023 Jun 12,NPJ Microgravity,9,,43,2,0,0,15,
PMC4379453,25817711,2,10.1530/JOE-14-0514,2015 Apr,The Journal of endocrinology,225,1,47,7,4,0,15,
PMC2897429,20435763,8600,10.1128/AEM.03065-09,2010 Apr 30,Applied and Environmental Microbiology,76,13,4136,5,0,0,15,
PMC10780891,38202381,100,10.3390/plants13010073,2023 Dec 25,Plants,13,1,73,15,4,0,15,FGUM-2022
PMC5648920,28821547,8600,10.1128/AEM.01584-17,2017 Oct 17,Applied and Environmental Microbiology,83,21,e01584-17,5,3,0,15,
PMC9163032,35654945,1,10.1038/s41526-022-00203-w,2022 Jun 2,NPJ Microgravity,8,,18,3,1,0,15,
PMC6275019,30469384,0,10.3390/ijms19113689,2018 Nov 21,International Journal of Molecular Sciences,19,11,3689,6,7,0,15,MO 2243; NASA
PMC6343501,30342287,21,10.1016/j.actbio.2018.10.024,2018 Oct 17,Acta biomaterialia,83,,302,6,2,0,15,
PMC11353732,39202335,3,10.3390/genes15080975,2024 Jul 24,Genes,15,8,975,7,4,0,15,NASA
PMC5018776,27551073,8600,10.1073/pnas.1613046113,2016 Aug 22,Proceedings of the National Academy of Sciences of the United States of America,113,36,E5364,0,0,0,0,
PMC4494396,26487415,8600,10.3390/ani3020513,2013 Jun 6,Animals : an Open Access Journal from MDPI,3,2,513,2,5,0,15,
PMC5810432,29359999,8600,10.1089/lrb.2017.0032,2018 Feb 1,Lymphatic Research and Biology,16,1,56,6,0,0,15,
PMC8816950,35121798,3,10.1038/s41598-022-05734-6,2022 Feb 4,Scientific Reports,12,,1938,3,1,0,15,
PMC6213004,30274169,90,10.3390/ijms19102961,2018 Sep 28,International Journal of Molecular Sciences,19,10,2961,6,1,0,15,NASA
PMC10020673,36938359,2023,10.1016/j.bioflm.2023.100108,2023 Mar 2,Biofilm,5,,100108,7,3,0,15,NASA
PMC4923109,27446039,8600,10.3389/fmicb.2016.00999,2016 Jun 28,Frontiers in Microbiology,7,,999,3,3,0,15,
PMC7667275,33224136,2020,10.3389/fimmu.2020.564950,2020 Nov 2,Frontiers in Immunology,11,,564950,5,0,0,15,NASA
PMC8396460,34445793,53,10.3390/ijms22169088,2021 Aug 23,International Journal of Molecular Sciences,22,16,9088,3,2,0,15,RAD2004; NASA
PMC11166946,38862573,4,10.1038/s41598-024-57948-5,2024 Jun 11,Scientific Reports,14,,13098,8,2,0,15,
PMC4150462,25225498,8600,10.3389/fpls.2014.00425,2014 Sep 1,Frontiers in Plant Science,5,,425,1,0,0,0,
PMC12008199,40251159,1,10.1038/s41467-025-59047-z,2025 Apr 19,Nature Communications,16,,3712,8,0,0,15,
PMC8005752,33790880,8600,10.3389/fmicb.2021.639396,2021 Mar 15,Frontiers in Microbiology,12,,639396,4,5,0,15,
PMC10996920,34433623,3,10.4049/immunohorizons.2100056,2021 Aug 25,ImmunoHorizons,5,8,675,9,2,0,15,
PMC6280456,30514368,1,10.1186/s40168-018-0609-y,2018 Dec 4,Microbiome,6,,214,0,0,0,0,
PMC6222041,30417036,3,10.1016/j.bonr.2018.10.002,2018 Oct 27,Bone Reports,9,,165,6,6,0,15,
PMC3187170,21803898,1,10.1128/AEM.00175-11,2011 Sep,Applied and Environmental Microbiology,77,18,6368,7,2,0,15,
PMC11166969,38862464,4,10.1038/s41467-024-48841-w,2024 Jun 11,Nature Communications,15,,4862,6,0,0,15,
PMC11094041,38744887,4,10.1038/s41526-024-00393-5,2024 May 14,NPJ Microgravity,10,,56,4,0,0,15,
PMC11888247,40060518,2,10.1101/2025.02.25.640044,2025 Feb 25,bioRxiv,,,2025.02.25.640044,8,0,0,15,
